,Title,Brand,Available,OriginalPrice,SalePrice,Discount,Sku,Link,Category
181,PARACHUTE CARGO PANTS,lama-retail,True,"Rs.5,450.00","Rs.2,180.00",Save 60%,XLFWWB0001-LRG-MRN,https://lamaretail.com/collections/last-chance/products/parachute-cargo-pants-xlfwwb0001-maroon,CLEARANCE
182,PARACHUTE CARGO PANTS,lama-retail,True,"Rs.5,450.00","Rs.2,180.00",Save 60%,XLFWWB0001-SML-BLU,https://lamaretail.com/collections/last-chance/products/parachute-cargo-pants-xlfwwb0001-blue,CLEARANCE
183,STRIPED EASY PANTS,lama-retail,True,"Rs.5,450.00","Rs.2,180.00",Save 60%,WAS24BT013-LRG-BLU,https://lamaretail.com/collections/last-chance/products/striped-easy-pants-was24bt013-blue,CLEARANCE
184,SUMMER WEAVE SLIDES,lama-retail,True,"Rs.6,450.00","Rs.4,515.00",Save 30%,WFS24SL010-038-TAN,https://lamaretail.com/collections/last-chance/products/summer-weave-slides-wfs24sl010-tan,CLEARANCE
185,CHUNKY PLATFORM SANDALS,lama-retail,True,"Rs.8,950.00","Rs.6,265.00",Save 30%,MFS24SD002-041-COF,https://lamaretail.com/collections/last-chance/products/chunky-platform-sandals-mfs24sd002-coffee,CLEARANCE
186,CONTRAST LEATHER BOAT SHOES,lama-retail,True,"Rs.8,450.00","Rs.3,380.00",Save 60%,MFS24BS004-042-TBU,https://lamaretail.com/collections/last-chance/products/contrast-leather-boat-shoes-mfs24bs004-tan-blue,CLEARANCE
187,PREMIUM LINEN CLASSIC PANTS,lama-retail,True,"Rs.9,950.00","Rs.2,985.00",Save 70%,UDCMWB0009-030-MRN,https://lamaretail.com/collections/last-chance/products/premium-linen-classic-pants-udcmwb0009-maroon,CLEARANCE
188,CLASSIC LEATHER BOAT SHOES,lama-retail,True,"Rs.8,450.00","Rs.5,915.00",Save 30%,MFS24BS003-042-DBR,https://lamaretail.com/collections/last-chance/products/classic-leather-boat-shoes-mfs24bs003-dark-brown,CLEARANCE
189,CASUAL SHORTS,lama-retail,True,"Rs.2,450.00",Rs.735.00,Save 70%,WAS24BT029-XSM-LBU,https://lamaretail.com/collections/last-chance/products/casual-shorts-was24bt029-light-blue,CLEARANCE
190,BASIC SWEATSHIRT,lama-retail,True,"Rs.3,950.00","Rs.1,580.00",Save 60%,SAPWWT0004-XSM-WHT,https://lamaretail.com/collections/last-chance/products/basic-sweatshirt-sapwwt0004-white,CLEARANCE
